x1,x2,x3,x4,x5,y1,y2,y3,y4
4.0,6.0,0.0,16.0,4.0,2421,1,1,11
15.0,6.0,0.0,17.0,4.0,386,2,8,21
23.0,7.0,92.0,14.0,4.0,129,1,1,24
25.0,13.0,11.0,10.0,4.0,113,1,1,1
3.0,27.0,138.0,1.0,4.0,2091,1,1,9
1.0,6.0,0.0,17.0,4.0,578,1,1,27
12.0,18.0,0.0,17.0,4.0,2067,1,1,16
25.0,0.0,9.0,9.0,4.0,2163,1,1,16
3.0,12.0,25.0,13.0,4.0,1706,1,1,9
7.0,6.0,0.0,17.0,4.0,339,1,1,16
26.0,0.0,0.0,17.0,4.0,241,1,1,16
2.0,6.0,34.0,5.0,3.0,1855,1,1,9
17.0,6.0,37.0,5.0,4.0,2193,1,1,17
25.0,6.0,106.0,5.0,4.0,2119,1,1,17
4.0,17.0,0.0,17.0,4.0,1742,0,9,23
21.0,2.0,36.0,12.0,2.0,1653,1,1,16
10.0,16.0,0.0,17.0,2.0,211,1,1,1
23.0,5.0,70.0,12.0,4.0,9,1,1,9
23.0,5.0,14.0,8.0,4.0,1534,1,2,0
9.0,5.0,65.0,5.0,4.0,443,1,1,32
18.0,27.0,0.0,17.0,2.0,1915,1,1,17
15.0,27.0,90.0,10.0,4.0,1906,1,1,17
22.0,16.0,121.0,1.0,4.0,2378,1,2,30
2.0,0.0,18.0,13.0,4.0,1495,1,1,9
23.0,6.0,22.0,12.0,4.0,816,1,1,9
26.0,16.0,7.0,12.0,2.0,1612,0,9,23
1.0,6.0,34.0,5.0,4.0,1380,1,1,27
4.0,6.0,0.0,17.0,4.0,1711,2,8,21
25.0,16.0,66.0,8.0,4.0,1769,1,1,17
9.0,7.0,17.0,5.0,4.0,431,1,2,0
25.0,25.0,14.0,1.0,4.0,2016,1,2,0
2.0,16.0,99.0,1.0,4.0,576,1,1,27
4.0,16.0,0.0,17.0,4.0,1872,1,2,25
15.0,16.0,22.0,5.0,4.0,807,1,2,12
3.0,16.0,137.0,1.0,4.0,1875,1,2,25
10.0,6.0,0.0,17.0,4.0,1262,1,2,0
9.0,12.0,67.0,8.0,4.0,1804,1,1,9
2.0,25.0,90.0,1.0,4.0,341,1,1,16
23.0,16.0,9.0,8.0,4.0,933,1,1,17
8.0,15.0,0.0,17.0,4.0,1376,1,2,25
4.0,25.0,172.0,1.0,3.0,614,1,1,17
1.0,25.0,113.0,1.0,4.0,1494,1,2,0
15.0,17.0,87.0,10.0,4.0,937,1,1,17
6.0,25.0,9.0,9.0,2.0,2153,1,2,0
10.0,25.0,223.0,8.0,4.0,497,1,2,0
4.0,25.0,253.0,8.0,4.0,1201,1,2,0
10.0,25.0,57.0,5.0,4.0,1669,1,2,0
10.0,7.0,201.0,8.0,4.0,2040,1,1,24
4.0,6.0,0.0,17.0,4.0,589,2,8,21
4.0,10.0,109.0,5.0,4.0,1393,1,1,27
10.0,12.0,0.0,17.0,4.0,662,1,1,27
7.0,25.0,5.0,8.0,4.0,2196,1,2,0
2.0,6.0,20.0,10.0,4.0,2295,1,1,27
24.0,25.0,6.0,9.0,2.0,341,1,1,16
2.0,6.0,1116.0,10.0,6.0,427,1,2,0
6.0,6.0,605.0,12.0,6.0,109,1,2,0
2.0,10.0,31.0,12.0,4.0,2120,1,1,27
9.0,5.0,0.0,17.0,2.0,2406,1,1,27
2.0,7.0,109.0,8.0,4.0,124,1,1,24
2.0,6.0,0.0,17.0,2.0,2087,1,2,0
2.0,18.0,115.0,1.0,4.0,1526,1,1,24
4.0,6.0,0.0,17.0,2.0,68,1,2,0
27.0,25.0,6.0,12.0,4.0,345,1,1,16
24.0,25.0,804.0,8.0,0.0,32,1,1,16
7.0,6.0,5.0,13.0,4.0,1456,1,2,0
10.0,12.0,13.0,12.0,4.0,1332,1,1,17
26.0,20.0,0.0,17.0,4.0,1653,1,1,16
9.0,18.0,7.0,12.0,2.0,1644,1,2,0
7.0,6.0,0.0,17.0,4.0,848,1,2,29
20.0,25.0,0.0,17.0,4.0,408,1,2,0
3.0,25.0,56.0,8.0,4.0,432,1,2,0
10.0,25.0,0.0,17.0,4.0,13,1,2,0
