eventDate,year,month,day,habitat,countryCode,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,hasCoordinate,species,iucnRedListCategory,substrate,latitude,longitude,coorUncert,observationID,region,district,filename,category_id,metaSubstrate,poisonous,elevation,landcover,biogeographicalRegion
2021-01-24,2021,1.0,24.0,Mixed woodland (with coniferous and deciduous trees),DK,Xylohypha ferruginosa (Corda) S.Hughes,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,Xylohypha,ferruginosa,True,Xylohypha ferruginosa,NE,dead wood (including bark),55.227983,11.680016,25.0,3052832307,Sjælland,Næstved,0-3052832307.JPG,2421,wood,0,0.0,16.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,0-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,1-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,2-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,3-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,4-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,5-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,6-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,7-3061954303.JPG,386,wood,0,0.0,17.0,continental
2021-02-27,2021,2.0,27.0,garden,DK,"Comatricha alta Preuss, 1851",Protozoa,Mycetozoa,Myxomycetes,Stemonitidales,Stemonitidaceae,Comatricha,alta,True,Comatricha alta,NE,dead wood (including bark),56.087201,12.215145,10.0,3061954303,Hovedstaden,Gribskov,8-3061954303.JPG,386,wood,0,0.0,17.0,continental
